title,content,url,label
"PM Modi Launches Bengaluru Metro's Yellow Line, New Vande Bharat Express","PM Modi Launches Bengaluru Metro's Yellow Line, New Vande Bharat Express PM Modi will flag off Vande Bharat Express train between KSR Bengaluru-Belagavi",https://www.ndtv.com/india-news/pm-narendra-modi-to-launch-bengaluru-metros-yellow-line-new-vande-bharat-express-9055484#publisher=newsstand,0
"College Fresher Assaulted, Given Electric Shock In Andhra Ragging Horror","College Fresher Assaulted, Given Electric Shock In Andhra Ragging Horror Screengrab of the viral video.",https://www.ndtv.com/india-news/college-fresher-assaulted-given-electric-shock-in-andhra-pradesh-palnadu-ragging-horror-9055751#publisher=newsstand,0
"Kerala Man, Arrested Over Wife's Death By Suicide In UAE, Released On Bail","Kerala Man, Arrested Over Wife's Death By Suicide In UAE, Released On Bail Athulya's death on July 19 sent shockwaves through her native village",https://www.ndtv.com/india-news/kerala-man-arrested-over-wifes-suicide-in-uaes-sharjah-released-on-bail-9055785#publisher=newsstand,0
"UP Woman Jumps Into Canal With 3 Children, Bodies Found Tied Together","UP Woman Jumps Into Canal With 3 Children, Bodies Found Tied Together A woman and her three children died after she jumped into a canal with them, allegedly after a fight with her husband in Uttar Pradesh.",https://www.ndtv.com/india-news/up-banda-news-woman-jumps-into-canal-with-3-children-bodies-found-tied-together-9055711#publisher=newsstand,0
600 Kilometres In 18 Hours: First Freight Train Reaches Kashmir's Anantnag,600 Kilometres In 18 Hours: First Freight Train Reaches Kashmir's Anantnag The development is expected to transform logistics and trade dynamics,https://www.ndtv.com/india-news/600-kilometres-in-18-hours-first-freight-train-reaches-kashmirs-anantnag-9055697#publisher=newsstand,0
"Pedestrian Dies After Speeding Thar Hits Him, Driver Says He Had Dozed Off","Pedestrian Dies After Speeding Thar Hits Him, Driver Says He Had Dozed Off Police have seized the vehicle and arrested the driver",https://www.ndtv.com/india-news/speeding-thar-rams-pedestrian-in-chanakyapuri-body-stays-on-road-for-hours-9055483#publisher=newsstand,0
"Encounter Breaks Out In J&K's Kishtwar Between Terrorists, Security Forces","Encounter Breaks Out In J&K's Kishtwar Between Terrorists, Security Forces Army's White Knight Corps confirmed the encounter in an X post",https://www.ndtv.com/india-news/encounter-breaks-out-in-j-ks-kishtwar-between-terrorists-security-forces-9055613#publisher=newsstand,0
"State Bank Of India Probationary Officer Preliminary Result To Be Out Soon, Details Here","State Bank Of India Probationary Officer Preliminary Result To Be Out Soon, Details Here SBI PO Result 2025: The exams are being conducted to fill a total of 541 vacancies",https://www.ndtv.com/education/state-bank-of-india-probationary-officer-preliminary-result-2025-to-be-out-soon-details-here-9055595#publisher=newsstand,0
Harsh Goenka Lauds Satya Nadella's Reply To Elon Musk's Swipe Over GPT-5,Harsh Goenka Lauds Satya Nadella's Reply To Elon Musk's Swipe Over GPT-5 Elon Musk and Satya Nadella,https://www.ndtv.com/india-news/harsh-goenka-lauds-satya-nadella-reply-to-elon-musk-swipe-over-gpt-5-microsoft-9055467#publisher=newsstand,0
"""Heard Of Laapataa Ladies But..."" Kapil Sibal Questions J Dhankhar's Whereabouts","""Heard Of Laapataa Ladies But..."" Kapil Sibal Questions J Dhankhar's Whereabouts Kapil Sibal questions Jagdeep Dhankhar's whereabouts after resignation",https://www.ndtv.com/india-news/heard-of-laapataa-ladies-not-of-rajya-sabha-mp-kapil-sibal-questions-former-vice-president-jagdeep-dhankhars-whereabouts-after-resignation-9055477#publisher=newsstand,0
"In Just 6 Months, This App Helped Recover Lakhs Of Stolen Phones","In Just 6 Months, This App Helped Recover Lakhs Of Stolen Phones The Sanchar Saathi app is available in English, Hindi, and 21 regional languages.",https://www.ndtv.com/india-news/in-just-6-months-sanchar-saathi-app-helped-recover-lakhs-of-stolen-phones-9055338#publisher=newsstand,0
"Army Chief Shares How Forces Reacted To Pahalgam, What Rajnath Singh Said","Army Chief Shares How Forces Reacted To Pahalgam, What Rajnath Singh Said Army chief General Upendra Dwivedi has narrated the turn of events that followed the ghastly terror attack in Pahalgam, which culminated in the 'Operation Sindoor' mega military offensive in May.",https://www.ndtv.com/india-news/pahalgam-attack-shocked-the-nation-army-chief-general-upendra-dwivedi-narrates-what-forces-did-next-9055356#publisher=newsstand,0
